Address	Length	Type	String
.text:0040345C	00000006	C	0dOj}s
.text:00405468	00000005	C	L$4QP
.text:004165CC	00000005	C	u\nÇD$
.text:004165F4	00000005	C	$$ÆD$
.text:004172CC	00000006	C	öÄDz9Ù
.text:00419624	0000000C	C	^ÃÌÌÌÌÌÌÌÌÌÌ
.text:00421DB6	00000005	C	P8-ch
.text:00421EF8	00000005	C	~HPh\n
.text:0043D328	00000006	C	i(Y6)
.text:00443BDA	00000005	C	L$\b^d
.text:00493F68	00000006	C	Ph{?I
.rdata:0072F34C	0000002E	C	Global\\{8CAAAB2B-CAC4-4b7f-B75A-3EFA5582A089}
.rdata:0072F3D8	00000011	C	DeathLandingHigh
.rdata:0072F3EC	0000000E	C	LandingMedium
.rdata:0072F400	0000000C	C	WheelGround
.rdata:0072F40C	00000014	C	AirplaneVehicleBody
.rdata:0072F420	00000010	C	BoatVehicleBody
.rdata:0072F430	0000000C	C	VehicleBody
.rdata:0072F43C	00000013	C	VehicleSeveredProp
.rdata:0072F450	00000016	C	SimulatingPropVehicle
.rdata:0072F468	0000000F	C	SimulatingProp
.rdata:0072F478	00000019	C	StatePropPlayerCharacter
.rdata:0072F494	0000000E	C	StatePropLand
.rdata:0072F4A4	00000013	C	StatePropCharacter
.rdata:0072F4B8	00000010	C	StatePropCamera
.rdata:0072F4C8	0000000A	C	StateProp
.rdata:0072F4DC	00000010	C	CharacterObjCol
.rdata:0072F4EC	0000000D	C	PlayerObjCol
.rdata:0072F4FC	00000012	C	CharacterWorldCol
.rdata:0072F510	0000000F	C	PlayerWorldCol
.rdata:0072F560	0000000C	C	VehicleOnly
.rdata:0072F570	0000002B	C	CollisionTargetingVehicleRayBehaviourGroup
.rdata:0072F5A0	00000006	C	Shark
.rdata:0072F5A8	00000007	C	shadow
.rdata:0072F5B0	0000000B	C	NPC_shadow
.rdata:0072F5BC	0000000A	C	Character
.rdata:0072F5D0	00000006	C	Eye_R
.rdata:0072F5D8	00000006	C	Eye_L
.rdata:0072F5E4	00000009	C	Middle_R
.rdata:0072F5F0	0000000E	C	Middle_Base_R
.rdata:0072F600	00000008	C	Thumb_R
.rdata:0072F608	0000000D	C	Thumb_Base_R
.rdata:0072F618	00000008	C	Index_R
.rdata:0072F620	0000000D	C	Index_Base_R
.rdata:0072F630	00000009	C	Middle_L
.rdata:0072F63C	0000000E	C	Middle_Base_L
.rdata:0072F64C	00000008	C	Thumb_L
.rdata:0072F654	0000000D	C	Thumb_Base_L
.rdata:0072F664	00000008	C	Index_L
.rdata:0072F66C	0000000D	C	Index_Base_L
.rdata:0072F67C	0000000B	C	Rage_Joint
.rdata:0072F688	00000012	C	right_hand_attach
.rdata:0072F69C	00000008	C	Wrist_R
.rdata:0072F6A4	00000009	C	Forarm_R
.rdata:0072F6B0	00000008	C	Elbow_R
.rdata:0072F6B8	0000000B	C	Shoulder_R
.rdata:0072F6C4	0000000B	C	Clavicle_R
.rdata:0072F6D0	00000011	C	left_hand_attach
.rdata:0072F6E4	00000008	C	Wrist_L
.rdata:0072F6EC	00000009	C	Forarm_L
.rdata:0072F6F8	00000008	C	Elbow_L
.rdata:0072F700	0000000B	C	Shoulder_L
.rdata:0072F70C	0000000B	C	Clavicle_L
.rdata:0072F728	00000008	C	Spine_2
.rdata:0072F730	00000008	C	Spine_1
.rdata:0072F738	00000008	C	Ankle_R
.rdata:0072F740	00000007	C	Knee_R
.rdata:0072F748	00000006	C	Hip_R
.rdata:0072F750	00000008	C	Ankle_L
.rdata:0072F758	00000007	C	Knee_L
.rdata:0072F760	00000006	C	Hip_L
.rdata:0072F768	00000007	C	Pelvis
.rdata:0072F770	0000000F	C	Character_Root
.rdata:0072F780	0000000D	C	Balance_Root
.rdata:0072F7B4	0000000F	C	lowerPartition
.rdata:0072F7E8	0000000B	C	ePartition
.rdata:0072F884	00000009	C	GunsDown
.rdata:0072F890	00000011	C	VarietyAnimation
.rdata:0072F8A4	00000013	C	Front-end Redirect
.rdata:0072F8B8	00000018	C	Front-end Map Secondary
.rdata:0072F8D0	00000016	C	Front-end Map Primary
.rdata:0072F8E8	00000013	C	Front-end Tutorial
.rdata:0072F8FC	00000012	C	Front-end Exotics
.rdata:0072F910	00000010	C	Front-end Modal
.rdata:0072F920	00000011	C	Front-end Object
.rdata:0072F934	0000000F	C	Front-end Data
.rdata:0072F944	00000011	C	Front-end Script
.rdata:0072F958	00000012	C	Script Event Heap
.rdata:0072F96C	00000019	C	Scripted Event Inventory
.rdata:0072F98C	0000000A	C	Animation
.rdata:0072F998	00000006	C	Tiger
.rdata:0072F9A0	00000008	C	Chicken
.rdata:0072F9B0	00000022	C	$gTonyHeadTrackOverRotateAngleMin
.rdata:0072F9D4	00000022	C	$gTonyHeadTrackOverRotateAngleMax
.rdata:0072FA04	0000001F	C	LayeredAnimationMemorySegments
.rdata:0072FA38	0000001B	C	GEN_Loco_Rlxd_Idle_Generic
.rdata:0072FA97	00000005	C	>=\nW>
.rdata:0072FABC	0000000A	C	ISRUNNING
.rdata:0072FAC8	00000007	C	SQUARE
.rdata:0072FAD0	0000000E	C	ALTERNATEFIRE
.rdata:0072FAE8	00000008	C	Injured
.rdata:0072FAF0	0000000A	C	Panicking
.rdata:0072FAFC	00000009	C	Kamikaze
.rdata:0072FB08	0000000A	C	Attacking
.rdata:0072FB14	00000009	C	Cautious
.rdata:0072FB20	00000006	C	Awake
.rdata:0072FB28	00000006	C	Drunk
.rdata:0072FB38	00000009	C	Shoulder
.rdata:0072FB44	0000000A	C	TwoHanded
.rdata:0072FB50	0000000A	C	OneHanded
.rdata:0072FB5C	00000009	C	Chainsaw
.rdata:0072FB68	00000006	C	Melee
.rdata:0072FB70	0000000B	C	WeaponButt
.rdata:0072FB7C	00000006	C	Lunge
.rdata:0072FB84	0000000C	C	SharkAttack
.rdata:0072FBB4	00000006	C	HardA
.rdata:0072FBBC	00000006	C	Shove
.rdata:0072FBC4	00000006	C	EasyC
.rdata:0072FBCC	00000006	C	EasyB
.rdata:0072FBD4	00000006	C	EasyA
.rdata:0072FBF0	00000006	C	RIGHT
.rdata:0072FC08	00000006	C	FRONT
.rdata:0072FC58	00000021	C	P3D_USE_ENTITY_NAMES not defined
.rdata:007303C0	0000000C	C	WeaponGroup
.rdata:00730404	00000006	C	value
.rdata:0073040C	00000008	C	compare
.rdata:00730414	00000013	C	UpperBodyAnimState
.rdata:00730428	00000012	C	DirectionalGetHit
.rdata:0073043C	00000015	C	MeleeAttackDirection
.rdata:00730454	00000015	C	MeleeGetHitDirection
.rdata:0073046C	00000010	C	MeleeGetHitType
.rdata:0073047C	0000000F	C	animationstate
.rdata:0073048C	0000000E	C	CharacterType
.rdata:0073049C	00000013	C	LocomotionTypeName
.rdata:007304B0	00000015	C	ConversationTypeName
.rdata:007304C8	00000010	C	AlertStatusName
.rdata:007304D8	00000011	C	AnimationSetName
.rdata:007304EC	0000000C	C	ButtonEvent
.rdata:00730A7C	00000006	C	Speed
.rdata:00730A84	00000011	C	DistanceToTarget
.rdata:00730A98	00000010	C	GetHitDirection
.rdata:00730AA8	0000000B	C	IsRageMode
.rdata:00730AB4	0000000F	C	IsWeaponRaised
.rdata:00730AC4	0000000A	C	IsInjured
.rdata:00730AD0	0000000C	C	IsCrouchRun
.rdata:00730ADC	0000000C	C	IsCrouching
.rdata:00730AE8	0000000C	C	AlertStatus
.rdata:00730AF4	00000011	C	ConversationType
.rdata:00730B08	0000000F	C	LocomotionType
.rdata:00730B18	0000000F	C	DramaticCamera
.rdata:00730B28	0000000C	C	CameraShake
.rdata:00730B34	00000010	C	TargetAnimation
.rdata:00730B44	0000000A	C	SoundFade
.rdata:00730B50	0000000A	C	SoundPlay
.rdata:00730B5C	00000009	C	SoundCue
.rdata:00730B68	0000000E	C	ExitCondition
.rdata:00730B78	00000013	C	ExecScriptFunction
.rdata:00730B8C	0000000A	C	Dismember
.rdata:00730B98	00000012	C	RetargetAnimation
.rdata:00730BAC	00000018	C	LocomotionAnimDataTrack
.rdata:00730BC4	0000000B	C	Locomotion
.rdata:00730BD0	0000000F	C	JointCollision
.rdata:00730BE0	00000006	C	blend
.rdata:00730BE8	00000011	C	LayeredAnimation
.rdata:00730BFC	00000012	C	AnimationRewinder
.rdata:00730C10	0000000D	C	animation360
.rdata:00730C20	0000000A	C	animation
.rdata:00730C38	0000001A	C	Simple Loco Anim Set Pool
.rdata:00730E2C	00000011	C	JointFightVolume
.rdata:00730E40	0000000C	C	FightVolume
.rdata:00730ED8	0000000B	C	%d.%s(%d);
.rdata:00730EE4	0000000A	C	dismember
.rdata:00731018	00000007	C	Animal
.rdata:00731020	00000007	C	stroke
.rdata:00731028	00000006	C	water
.rdata:00731034	00000006	C	%d.%s
.rdata:00731150	00000009	C	Ambience
.rdata:0073115C	00000013	C	AmbientComposition
.rdata:00731170	00000006	C	Music
.rdata:00731178	00000011	C	MusicComposition
.rdata:007311DC	00000015	C	target Anim Set Pool
.rdata:007312C8	00000014	C	UsingSweptCollision
.rdata:007312E0	00000008	C	grapple
.rdata:007312E8	00000009	C	mirrored
.rdata:007312F4	0000000E	C	fullPartition
.rdata:00731304	0000000F	C	Hold End Frame
.rdata:00731314	00000007	C	Cyclic
.rdata:0073131C	0000000B	C	Not Cyclic
.rdata:00731328	0000000F	C	From Animation
.rdata:00731440	00000014	C	HeadTrackingAllowed
.rdata:00731454	0000000E	C	FacingAllowed
.rdata:00731464	0000000A	C	Partition
.rdata:00731470	00000007	C	cyclic
.rdata:00731478	00000009	C	endFrame
.rdata:00731484	0000000B	C	startFrame
.rdata:00731490	00000006	C	speed
.rdata:00731498	0000000D	C	TimeDuration
.rdata:007314A8	0000000A	C	TimeBegin
.rdata:007314B4	0000000E	C	FaceAsDesired
.rdata:007314C4	0000000D	C	FaceAsTarget
.rdata:007314D4	0000000B	C	FaceTarget
.rdata:007314E0	00000013	C	NoAnimContribution
.rdata:007314F4	00000012	C	PositionAsDesired
.rdata:00731508	00000010	C	AngularDistance
.rdata:00731518	0000000B	C	WSPosition
.rdata:00731524	00000007	C	OffSet
.rdata:0073152C	0000000F	C	PlanarDistance
.rdata:0073153C	00000009	C	Distance
.rdata:00731548	0000000F	C	UsePlayerActor
.rdata:00731558	00000011	C	UseAttackerActor
.rdata:0073156C	00000010	C	UseTargetByName
.rdata:0073157C	00000010	C	UseSelfAsTarget
.rdata:0073158C	00000011	C	UseDesiredTarget
.rdata:007315A0	00000013	C	UseCharacterTarget
.rdata:007316BC	0000000D	C	YAngleOffset
.rdata:007316CC	00000014	C	FacingTargetingType
.rdata:007316E0	00000012	C	DoFacingTargeting
.rdata:007316F4	0000000D	C	TargetOffset
.rdata:00731704	00000016	C	PositionTargetingType
.rdata:0073171C	00000014	C	DoPositionTargeting
.rdata:00731730	00000010	C	UseMovingTarget
.rdata:00731740	00000007	C	DoSnap
.rdata:00731748	0000000B	C	TargetType
.rdata:00731754	00000009	C	frameEnd
.rdata:00731760	0000000B	C	frameBegin
.rdata:00731818	0000000B	C	RewindStep
.rdata:00731824	0000000D	C	ForwardSpeed
.rdata:00731834	0000000E	C	DeadZoneFrame
.rdata:00731844	00000010	C	StopRewindingAt
.rdata:00731854	00000011	C	StartRewindingAt
.rdata:00731910	00000009	C	BlendOut
.rdata:0073191C	00000008	C	BlendIn
.rdata:00731928	00000012	C	Z rotation (roll)
.rdata:0073193C	00000011	C	Y rotation (yaw)
.rdata:00731950	00000013	C	X rotation (pitch)
.rdata:00731964	0000000E	C	Z translation
.rdata:00731974	0000000E	C	Y translation
.rdata:00731984	0000000E	C	X translation
.rdata:00731A64	0000000B	C	randomness
.rdata:00731A70	0000000A	C	amplitude
.rdata:00731A7C	0000000A	C	frequency
.rdata:00731A88	0000000A	C	shakeType
.rdata:00731B58	0000000A	C	JointName
.rdata:00731B64	00000009	C	FrameEnd
.rdata:00731B70	0000000B	C	FrameBegin
.rdata:00731B7C	00000007	C	NoGore
.rdata:00731B84	0000000A	C	UpperBody
.rdata:00731B90	0000000E	C	SpawnLegRight
.rdata:00731BA0	0000000D	C	SpawnLegLeft
.rdata:00731BB0	0000000E	C	SpawnArmRight
.rdata:00731BC0	0000000D	C	SpawnArmLeft
.rdata:00731BD0	0000000A	C	SpawnHead
.rdata:00731D04	0000000D	C	FlyAwayForce
.rdata:00731D14	0000000E	C	AttachToJoint
.rdata:00731D2C	0000000A	C	SpawnLimb
.rdata:00731D38	00000014	C	UseGrappleCharacter
.rdata:00731D4C	0000000A	C	timeBegin
.rdata:00731E60	0000000E	C	EnableMirror3
.rdata:00731E70	0000000E	C	EnableNormal3
.rdata:00731E80	00000008	C	weight3
.rdata:00731E88	00000009	C	rotateY3
.rdata:00731E94	0000000B	C	animation3
.rdata:00731EA0	0000000E	C	EnableMirror2
.rdata:00731EB0	0000000E	C	EnableNormal2
.rdata:00731EC0	00000008	C	weight2
.rdata:00731EC8	00000009	C	rotateY2
.rdata:00731ED4	0000000B	C	animation2
.rdata:00731EE0	0000000E	C	EnableMirror1
.rdata:00731EF0	0000000E	C	EnableNormal1
.rdata:00731F00	00000008	C	weight1
.rdata:00731F08	00000009	C	rotateY1
.rdata:00731F14	0000000B	C	animation1
.rdata:00731F20	0000000E	C	EnableMirror0
.rdata:00731F30	0000000E	C	EnableNormal0
.rdata:00731F40	00000008	C	weight0
.rdata:00731F48	00000009	C	rotateY0
.rdata:00731F54	0000000B	C	animation0
.rdata:00731F60	0000000C	C	NoCamWeight
.rdata:00731F6C	00000015	C	AbortWhenInterrupted
.rdata:00731F84	0000000F	C	TrackCharacter
.rdata:00731F94	00000007	C	Offset
.rdata:00731F9C	0000000B	C	HoldFrames
.rdata:007320A4	0000000F	C	conditionGroup
.rdata:007320B4	0000000B	C	Autonomous
.rdata:007320C0	0000000D	C	grappleSlave
.rdata:007320D0	00000007	C	branch
.rdata:007320D8	0000000A	C	exitFrame
.rdata:007320E4	00000009	C	maxTimer
.rdata:007320F0	00000009	C	minTimer
.rdata:007320FE	00000006	C	'7t~w
.rdata:00732208	00000017	C	PreProceduralAnimation
.rdata:00732220	0000000E	C	relativeSpeed
.rdata:00732230	00000009	C	maxBlend
.rdata:00732250	00000006	C	South
.rdata:00732258	00000006	C	North
.rdata:00732260	00000007	C	Sprint
.rdata:00732344	00000009	C	RingType
.rdata:00732350	0000000A	C	Direction
.rdata:00732360	00000010	C	AllWayTargeting
.rdata:00732370	00000007	C	AllWay
.rdata:00732378	00000007	C	TwoWay
.rdata:00732380	00000010	C	OneWayTargeting
.rdata:00732390	00000007	C	OneWay
.rdata:00732398	00000006	C	NoWay
.rdata:00732480	00000010	C	LocomotionStyle
.rdata:00732490	0000001B	C	UpperBodyLocomotionEnabled
.rdata:007324AC	0000000B	C	SinglePlay
.rdata:007324B8	0000000A	C	blendTime
.rdata:007324C4	00000014	C	Cancel_Ambient_Loop
.rdata:007324D8	00000006	C	Cover
.rdata:00732580	0000000D	C	FunctionName
.rdata:00732590	0000000F	C	InterruptVocal
.rdata:007325A4	00000006	C	Vocal
.rdata:007325AC	00000006	C	Foley
.rdata:00732858	0000000A	C	soundName
.rdata:00732864	0000000A	C	soundType
.rdata:00732870	00000008	C	mixName
